metric,P0,P1,P2,P3,P4,P5,P6,P7
M1_accuracy,0.88,0.9,0.9,0.9,0.1,0.76,0.36,0.38
M1c_SUITABLE,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.35714285714285715,0.8571428571428571,0.35714285714285715,0.35714285714285715
M1c_CONDITIONAL,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5384615384615384
M1c_UNSUITABLE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5384615384615384
M1c_ESCALATED,0.5,0.6,0.6,0.6,0.0,0.0,0.0,0.0
M2_unsuitable_recall,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5384615384615384
M2p_precision,1.0,1.0,1.0,1.0,nan,1.0,0.3023255813953488,0.3684210526315789
M3f_escalation_f1,0.6666666666666666,0.7499999999999999,0.7499999999999999,0.7499999999999999,nan,nan,nan,nan
M5_delta_vs_P0,control,0.020000000000000018,0.020000000000000018,0.020000000000000018,-0.78,-0.12,-0.52,-0.5
M6_parity_gap,0.5,0.4,0.4,0.4,0.35714285714285715,1.0,1.0,0.5384615384615384
n_correct,44,45,45,45,5,38,18,19
n_total,50,50,50,50,50,50,50,50
n_errors,0,0,0,0,0,0,0,0
